"Date","PCECTPI","headline_inflation","headline_inflation_change","headline_inflation_ma","JCXFE","core_inflation","core_inflation_change","core_inflation_ma","food_energy","food_energy_late_period","UNRATE","ST_UNRATE","LT_UNRATE","OPHNFB","trend_8_quarter","actual_8_quarter_change","nixon_price_on","nixon_price_off","NIXON"
"1977-Q3",30.42,6.76681173662783,-0.0136343547282705,6.54769407150391,30.622,6.59658161311658,0.101743542122377,6.3881257810313,0.170230123511249,0,6.9,5.94326441229025,0.956735587709753,52.032,3.07703999744116,5.26188019663774,0,0,0
"1977-Q4",30.852,6.59940570796766,-0.167406028660168,6.39077507559516,31.067,6.48135453797643,-0.115227075140153,6.27997090732291,0.118051169991234,0,6.66666666666667,5.74876529669439,0.917901369972282,51.365,2.98442059379515,3.79913104981308,0,0,0
"1978-Q1",31.358,6.42457152553878,-0.174834182428882,6.22662996483823,31.552,6.35386119257086,-0.127493345405563,6.16016614642616,0.0707103329679146,0,6.33333333333333,5.59771732022906,0.735616013104273,51.389,2.89074052759204,2.32979549572871,0,0,0
"1978-Q2",32.002,6.78367646568121,0.359104940142431,6.56348867748249,32.096,6.55688722153978,0.20302602896892,6.35088088677489,0.226789244141425,0,6,5.33708691771214,0.662913082287855,52.405,2.79757401038218,3.39758893514591,0,0,0
"1978-Q3",32.564,7.04799474030243,0.264318274621218,6.81070968805848,32.647,6.61289269152896,0.056005469989179,6.40342630038897,0.435102048773465,0,6.03333333333333,5.40127719731561,0.632056136017723,52.435,2.70640760605469,3.20834563527212,0,0,0
"1978-Q4",33.179,7.54246078050046,0.494466040198033,7.27155675986344,33.233,6.97202819712234,0.359135505593376,6.73971955795025,0.570432583378121,0,5.9,5.35124705670138,0.548752943298621,52.777,2.61882163083067,3.57773678219571,0,0,0
"1979-Q1",33.804,7.80024236239557,0.257781581895106,7.51097207439773,33.687,6.76660750507099,-0.205420692051351,6.54750278382861,1.03363485732458,0,5.86666666666667,5.33741234176811,0.529254324898558,52.297,2.53647482874833,1.97925197925198,0,0,0
"1979-Q2",34.728,8.51821761139928,0.71797524900372,8.17478771506095,34.427,7.26258723828516,0.495979733214168,7.01097284606096,1.25563037311413,0,5.7,5.20095469054032,0.49904530945968,52.2,2.46117577433824,1.37497086926126,0,0,0
"1979-Q3",35.59,9.29247021250462,0.774252601105333,8.88573158103698,35.063,7.40037369436703,0.137786456081874,7.13934755440002,1.89209651813759,0,5.86666666666667,5.37658255921528,0.490084107451389,52.133,2.39464597606074,0.194111316113173,0,0,0
"1979-Q4",36.451,9.86165948340817,0.569189270903555,9.40517472502016,35.794,7.7061956489032,0.305821954536171,7.42369234361062,2.15546383450497,0,5.96666666666667,5.42341945432231,0.543247212344358,52.07,2.33843722285978,1.37252993283364,0,0,0
"1980-Q1",37.545,11.0667376641818,1.20507818077358,10.4961074869611,36.67,8.85504794134237,1.14885229243917,8.48469758247234,2.21168972283938,0,6.3,5.76663820257053,0.533361797429473,52.317,2.29375747013867,1.80583393333203,0,0,0
"1980-Q2",38.464,10.7578898871228,-0.308847777058977,10.217646091545,37.49,8.89708658901444,0.042038647672074,8.52330905076863,1.86080329810833,0,7.33333333333333,6.63659069622229,0.696742637111042,51.77,2.26166375028665,-1.21171643927106,0,0,0
"1980-Q3",39.364,10.6041022759202,-0.153787611202588,10.0786993514638,38.325,9.30325414254342,0.406167553528979,8.89559813270844,1.30084813337676,0,7.66666666666667,6.81007710930353,0.85658955736314,51.975,2.24313685764035,-0.877276628206352,0,0,0
"1980-Q4",40.338,10.6636306274176,0.0595283514974447,10.1325059794366,39.259,9.68039336201599,0.377139219472568,9.24004357111774,0.983237265401639,0,7.4,6.35662762739471,1.04337237260529,52.502,2.23861487088176,-0.521060310362466,0,0,0
"1981-Q1",41.384,10.2250632574244,-0.43856736999321,9.73541191493665,40.129,9.43277883828742,-0.247614523728572,9.01402828719,0.792284419137001,0,7.43333333333333,6.27391701891195,1.15941631442138,53.31,2.24804830408574,1.93701359542613,0,0,0
"1981-Q2",42.078,9.3957986688852,-0.829264588539218,8.98022998700863,40.888,9.06375033342223,-0.369028504865184,8.67623907181576,0.332048335462968,0,7.4,6.35046532922157,1.04953467077843,52.622,2.27095647208004,0.808429118773941,0,0,0
"1981-Q3",42.772,8.657656742201,-0.738141926684202,8.3031989857671,41.641,8.65231572080886,-0.411434612613375,8.29828340703629,0.00534102139214099,0,7.4,6.37794670966751,1.02205329033249,53.117,2.30681009051922,1.8874800989776,0,0,0
"1981-Q4",43.427,7.65779166046903,-0.999865081731968,7.37874147707629,42.381,7.95231666624213,-0.699999054566725,7.65194312912429,-0.294525005773102,0,8.23333333333333,7.18093235362439,1.05240097970894,52.559,2.35485135515886,0.93912041482619,0,0,0
"1982-Q1",43.979,6.27053933887492,-1.38725232159411,6.08179145588945,43.002,7.159410899848,-0.792905766394132,6.91473612847027,-0.888871560973078,0,8.83333333333333,7.67212295389229,1.16121037944104,52.303,2.41425694144336,-0.0267599441864077,0,0,0
