"Date","PCECTPI","headline_inflation","headline_inflation_change","headline_inflation_ma","JCXFE","core_inflation","core_inflation_change","core_inflation_ma","food_energy","food_energy_late_period","UNRATE","ST_UNRATE","LT_UNRATE","OPHNFB","trend_8_quarter","actual_8_quarter_change","nixon_price_on","nixon_price_off","NIXON","n","NAIRU_smoothed","NAIRU","UNGAP_raw","UNGAP"
"1997-Q4",70.71,1.27615692003608,-0.370657604233518,1.26808265855116,72.065,1.47284529492107,-0.254784029462579,1.46210426599485,-0.196688374884986,-0.196688374884986,4.66666666666667,3.96397800116373,0.702688665502939,69.843,4.80280688200392,4.69958625652096,0,0,0,97,3.28530393061492,2.17698701935789,2.48967964730878,1.38136273605175
"1998-Q1",70.715,0.838478759964077,-0.437678160072004,0.83498305371954,72.277,1.37311004516256,-0.0997352497585104,1.36376830693843,-0.534631285198479,-0.534631285198479,4.63333333333333,3.94368114173774,0.689652191595595,70.472,4.95380729311553,4.99091207055808,0,0,0,98,3.124460319192,2.84370074102393,1.7896325923094,1.50887301414133
"1998-Q2",70.843,0.768103779355086,-0.0703749806089905,0.765168881403344,72.498,1.15529510255337,-0.217814942609182,1.14867252673978,-0.387191323198288,-0.387191323198288,4.4,3.80822230367229,0.591777696327708,70.862,5.1041704096586,4.55477683511618,0,0,0,99,2.98786763277283,-3.17609333833518,7.57609333833518,1.41213236722717
"1998-Q3",71.062,0.814323005334239,0.0462192259791523,0.811025286176648,72.756,1.27928504809499,0.123989945541615,1.27117132210799,-0.46496204276075,-0.46496204276075,4.53333333333333,3.91419394162208,0.619139391711252,71.805,5.25224017580423,5.56453984122319,0,0,0,100,2.88096674864392,1.83017931308152,2.70315402025181,1.65236658468941
"1998-Q4",71.249,0.762268420308304,-0.0520545850259349,0.759377834639796,72.987,1.2794005411781,0.000115493083110652,1.27128535630279,-0.517132120869795,-0.517132120869795,4.43333333333333,3.82283394414559,0.61049938918774,72.362,5.39627469297748,6.28809800091067,0,0,0,101,2.80534606848483,3.09657345244673,1.3367598808866,1.6279872648485
"1999-Q1",71.39,0.954535812769564,0.19226739246126,0.950008904190636,73.171,1.23690800669647,-0.042492534481632,1.22932080005551,-0.282372193926903,-0.282372193926903,4.3,3.75353971682265,0.546460283177346,73.357,5.53458085942612,7.9795690061234,0,0,0,102,2.76193725182788,1.07549431161485,3.22450568838515,1.53806274817212
"1999-Q2",71.796,1.34522818062477,0.390692367855202,1.33626032225616,73.425,1.2786559629231,0.0417479562266376,1.27055018114577,0.0665722177016612,0.0665722177016612,4.26666666666667,3.7190191545179,0.547647512148764,73.613,5.66560492078981,6.78300477247342,0,0,0,103,2.75185397532038,1.55223955776566,2.71442710890101,1.51481269134629
"1999-Q3",72.191,1.58875348287412,0.243525302249351,1.576264896305,73.695,1.29061520699323,0.0119592440701233,1.28235774111269,0.298138275880889,0.298138275880889,4.23333333333333,3.73508629815217,0.498247035181163,74.312,5.7881751521061,6.92220255823656,0,0,0,104,2.77515588877202,-4.46181780260021,8.69515113593354,1.45817744456131
"1999-Q4",72.629,1.93686928939355,0.348115806519432,1.91835071454882,74.042,1.44546289065177,0.154847683658541,1.43511566680896,0.49140639874178,0.49140639874178,4.06666666666667,3.58618292128303,0.480483745383632,75.388,5.9012944221394,7.9392351416749,0,0,0,105,2.83115288298149,1.84247739566466,2.22418927100201,1.23551378368518
"2000-Q1",73.219,2.56198347107437,0.625114181680822,2.52971466138199,74.43,1.72062702436758,0.275164133715808,1.70599187659359,0.841356446706794,0.841356446706794,4.03333333333333,3.58252352179644,0.450809811536898,75.13,6.0041427914363,6.60971733454422,0,0,0,106,2.9146317401904,3.18566439050777,0.847668942825557,1.11870159314293
"2000-Q2",73.568,2.46810407265027,-0.0938793984240966,2.43813843848759,74.689,1.72148450800136,0.000857483633778688,1.70683485214802,0.746619564648918,0.746619564648918,3.93333333333333,3.51179482383747,0.421538509495865,76.56,6.09621874878084,8.04098106178207,0,0,0,107,3.01976132046076,3.85272384807594,0.0806094852573929,0.91357201287257
"2000-Q3",74.042,2.56403152747572,0.0959274548254481,2.53171153769385,75.05,1.8386593391682,0.117174831166843,1.821960379075,0.725372188307524,0.725372188307524,4,3.55058388523554,0.449416114764457,76.537,6.17711540397938,6.59007032936425,0,0,0,108,3.14087987926105,4.19472948832888,-0.194729488328884,0.859120120738948
"2000-Q4",74.46,2.52103154387364,-0.0429999836020789,2.48977773365349,75.421,1.8624564436401,0.0237971044719039,1.8453251058598,0.658575100233541,0.658575100233541,3.9,3.48504775763003,0.414952242369973,77.288,6.24672973594974,6.80744036925458,0,0,0,109,3.2728462736395,4.37284381108674,-0.472843811086736,0.627153726360495
"2001-Q1",75.012,2.44881792977234,-0.0722136141013081,2.41931506094861,75.912,1.99113260781943,0.128676164179324,1.97156882996383,0.457685321952909,0.457685321952909,4.23333333333333,3.74734890189488,0.48598443143845,76.893,6.30502324781679,4.82026255163107,0,0,0,110,3.41117801665002,4.57816357697413,-0.344830243640798,0.822155316683314
"2001-Q2",75.363,2.43991953023054,-0.00889839954179816,2.41062898121802,76.199,2.02171671866005,0.0305841108406242,2.00155136407449,0.418202811570487,0.418202811570487,4.4,3.93613856323389,0.463861436766114,78.225,6.35204505374188,6.26519772322823,0,0,0,111,3.55208011980739,4.69566850073135,-0.295668500731345,0.847919880192613
